Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-30,12402.54,12449.28,12354.79,12393.66,3273790000,0,0
2019-05-31,12280.78,12318.46,12238.4,12264.49,3981020000,0,0
2019-06-03,12288.51,12372.82,12273.09,12341.82,3966700000,0,0
2019-06-04,12341.82,12564.37,12341.82,12560.58,3810430000,0,0
2019-06-05,12607.35,12618.22,12530.15,12614.7,3548830000,0,0
2019-06-06,12631.09,12710.67,12606.12,12675.66,3396410000,0,0
2019-06-07,12725.38,12814.81,12725.38,12765.86,3220250000,0,0
2019-06-10,12821.49,12859.63,12798.29,12802.03,3209210000,0,0
2019-06-11,12867.17,12900.77,12787.49,12813.91,3548420000,0,0
2019-06-12,12797.86,12818.6,12772.33,12784.83,3034130000,0,0
2019-06-13,12816.43,12841.72,12788.54,12827.51,3069810000,0,0
2019-06-14,12808.89,12813.0,12767.85,12787.24,2922330000,0,0
2019-06-17,12789.68,12808.12,12769.53,12775.52,2810140000,0,0
2019-06-18,12837.47,12950.8,12837.47,12907.46,3437620000,0,0
2019-06-19,12924.27,12972.48,12908.41,12954.08,3287890000,0,0
2019-06-20,12954.08,13094.8,12954.08,13081.54,3905940000,0,0
2019-06-21,13068.36,13095.57,13037.88,13047.24,5000120000,0,0
2019-06-24,13047.24,13061.25,13015.91,13019.98,3136250000,0,0
2019-06-25,13019.98,13022.73,12934.9,12936.65,3578050000,0,0
2019-06-26,12936.65,12977.92,12911.99,12912.01,3478130000,0,0
2019-06-27,12912.06,12976.23,12912.06,12965.32,3122920000,0,0
2019-06-28,12965.55,13055.86,12965.55,13049.71,5420700000,0,0
2019-07-01,13049.71,13191.9,13049.71,13127.69,3513270000,0,0
2019-07-02,13127.69,13152.95,13105.03,13152.55,3206840000,0,0
2019-07-03,13152.55,13239.9,13152.55,13239.87,1963720000,0,0
2019-07-05,13231.8,13231.8,13114.84,13210.91,2434210000,0,0
2019-07-08,13210.87,13210.87,13136.22,13147.22,2904550000,0,0
2019-07-09,13147.21,13147.21,13091.9,13136.89,3028210000,0,0
2019-07-10,13137.96,13221.06,13137.96,13173.26,3154240000,0,0
2019-07-11,13173.26,13211.74,13150.51,13198.72,3154620000,0,0
2019-07-12,13199.85,13237.18,13199.23,13234.76,2974960000,0,0
2019-07-15,13234.76,13255.13,13220.23,13233.39,2874970000,0,0
2019-07-16,13232.96,13243.05,13185.91,13195.19,3290650000,0,0
2019-07-17,13195.19,13201.53,13119.2,13119.97,3181600000,0,0
2019-07-18,13109.29,13181.2,13089.49,13168.7,3296580000,0,0
2019-07-19,13168.7,13205.09,13111.94,13111.99,3260360000,0,0
2019-07-22,13111.99,13139.08,13087.52,13109.77,3003720000,0,0
2019-07-23,13109.9,13203.07,13109.9,13197.52,3313660000,0,0
2019-07-24,13172.55,13235.6,13161.74,13234.93,3428980000,0,0
2019-07-25,13234.93,13234.93,13146.65,13169.29,3645270000,0,0
2019-07-26,13169.29,13244.05,13169.29,13235.5,3257590000,0,0
2019-07-29,13235.49,13249.04,13212.8,13222.61,3203710000,0,0
2019-07-30,13222.76,13222.76,13128.15,13187.21,3634330000,0,0
2019-07-31,13187.21,13196.85,12979.37,13066.6,4623430000,0,0
2019-08-01,13053.66,13154.38,12890.98,12920.82,4762300000,0,0
2019-08-02,12885.32,12887.25,12767.01,12839.51,3874660000,0,0
2019-08-05,12666.3,12666.3,12408.26,12497.31,4513730000,0,0
2019-08-06,12564.89,12634.96,12496.14,12628.14,4154240000,0,0
